company_permalink,company_name,homepage_url,company_category_list,funding_total_usd,status,company_country_code,company_city,funding_rounds,founded_at,first_funding_at,last_funding_at,time_before_first_fund,employee_count,number_of_technologies,annual_rev
/organization/mediastream,Mediastream,http://mediastre.am,Video Streaming,1700000.0,operating,CHL,Santiago,1,2007-02-01 00:00:00.000000000,2014-01-24,2014-01-24,2549 days 00:00:00,75,13,6000000.0
/organization/mediasurface,Mediasurface,http://www.mediasurface.com,Software,1460000.0,operating,GBR,Bristol,1,2004-05-25 20:46:43.240577680,2008-02-18,2008-02-18,1363 days 03:13:16.759422320,20,1,35000000.0
/organization/mediatonic-games,Mediatonic Games,http://www.mediatonicgames.com,Android|Apps|Games|iOS|Mobile|Social Media|Video Games,0.0,operating,GBR,London,2,2005-09-05 00:00:00.000000000,2010-04-01,2012-01-01,1669 days 00:00:00,320,13,83427000.0
/organization/mediatrove,MediaTrove,http://www.mediatrove.com/,Music,20000.0,operating,USA,Corrales,1,2012-01-01 00:00:00.000000000,2014-10-03,2014-10-03,1006 days 00:00:00,31,3,3646000.0
/organization/mediatrust,MediaTrust,http://www.mediatrust.com,Advertising|App Marketing|Email Marketing|Internet Marketing|Lead Generation|Media|Performance Marketing|Search Marketing|Semantic Search|SEO|Social Media Advertising|Sports,21000000.0,operating,USA,New York,2,2004-04-10 00:00:00.000000000,2010-05-06,2011-02-24,2217 days 00:00:00,68,16,
/organization/mediav,MediaV,http://www.mediav.com,Advertising,15000000.0,operating,CHN,Shanghai,2,2006-11-27 20:46:43.240577680,2010-08-22,2011-05-17,1363 days 03:13:16.759422320,120,1,175000000.0
/organization/mediawallah,MediaWallah,http://www.mediawallah.com,Advertising|Digital Media|Media,0.0,operating,USA,New York,1,2013-01-01 00:00:00.000000000,2015-09-01,2015-09-01,973 days 00:00:00,17,13,7000000.0
/organization/mediawheel,MediaWheel,http://www.mediawheel.com,Digital Media|Social Media,0.0,operating,USA,Atlanta,1,2008-02-01 00:00:00.000000000,2008-02-01,2008-02-01,0 days 00:00:00,0,1,
/organization/mediaxstream,MediaXstream,http://mediaxstream.tv,Broadcasting|Delivery|Media,10000000.0,acquired,USA,Summit,1,2004-07-07 20:46:43.240577680,2008-04-01,2008-04-01,1363 days 03:13:16.759422320,0,1,
/organization/medibeacon,MediBeacon,http://www.medibeacon.com,Biotechnology,30958000.0,operating,USA,St Louis,4,2011-01-01 00:00:00.000000000,2013-01-01,2015-08-27,731 days 00:00:00,22,14,9312000.0
